Issue_id,Duplicated_issue,Title1,Description1,Title2,Description2,Label
215184,214228,way open new mail frontent window closing,way open new main thunderbird window closing without restart application nice solition would cmd cmd cmd buttons worked open firebird thunderbird composer installed system start thunderbird click red button close window wish could open back without restarting application notng menu option reopen window,mozilla menubar reappears open windows thunderbird similar bug,mozilla thunderbird build mac similar bug firebird close last window mac dont windows left menubar still functional mozilla toolbar see thunderbird one items nonfunctional surprises found depending whats still left inside thunderbird story window javascript console composer fully functional password manager page info nonexisiting page even able surf using viewsource tab composer bit awkward works yes know find complete composer browser inside thunderbird thats get put htmlviewer htmlcomposer inside mailer wanted show might places still remove tbird even though end shared anyway,1
215392,215308,running junkmail filter folder marks first spammail folder,imapfolder spam mails run junk mail controls folder marks exactly one message top message list stops delete mails marked junk process repeated mails marked spam folder running junkmail controls doesnt mark spam notng said marked mails spam used trainingdat mozilla works,running junkmail filter folder marks first spammail folder,imapfolder spam mails run junk mail controls folder marks exactly one message top message list stops delete mails marked junk process repeated mails marked spam folder running junkmail controls doesnt mark spam notng said marked mails spam used trainingdat mozilla works,1
215416,217255,thunderbird wont start gdkdrawablexc drawable pixmap window,redhat cannot start thunderbird get message thunderbirdbin gdkwarning gdkdrawablexc drawable pixmap window thunderbird bug thunderbirdbin gdkwarning gdkdrawablexc drawable pixmap window thunderbird start,crash message gdkwarning gdkdrawablexc drawable pixmap window,process started display opened crashed message gdkwarning gdkdrawablexc drawable pixmap window redhat linux ibm tnkpad linux gnulinux desktop system linux athlon gnulinux usrlocalthunderbirdthunderbird error message open window thunderbird mail application,1
215576,221726,cant specify columns folder pane,mozilla mails folder pane get dropdown lets check columns display namely one shows total number messages folder unread messages functionality seems missing thunderbird chance come back liked seeing many total messages,optionally add unreadtotal size columns thunderbird folder pane controlled pref,feature displays unread total email messages wrong part display window feature folders section individual email display area available individual email messages display pane doesnt work cannot activate feature folders section display number unread andor total email messages,1
215649,241845,saving mail edited new doesnt work,use ctrle message edit close window elect save message notng happens except edit window closes pick message edit press ctrle menu messageedit new change sometng click upperright corner choices dialog appears click save edit window closes original message unchanged changes message changes according edits,save draft folder,message compose window already offers save message file drafts folder templates folder would useful mozilla offered entire folder tree savedestination advantages beeing able use local folders case network problems posting shared folders imap servers support,1
215653,215600,send options preferences cut,build send options moved composition section options menu however scroll bars available particular section send options virtually cut barely visible bottom button visible enough click marking trivial really probably completely viewable see following screen shot httphomeearthlinknetbhsimagesngbintmpsendoptionspng access tools options menu select composition section options simply look bottom right preferences shown screen shot send options virtually cut completely picture either entire options windows needs larger logically scrollbars slapped one scroll see button access send options clearly scroll bars strike logical choice advanced area deals lengthy area,options composition window data fit,tools options cmposition data fit window select tools options composition data fit window data fit window vertical scroll bar,1
215959,216133,mechanism load supressed images per message,related bug bit broader emails spam spam portions notorious example yahoo groups every time receive mail top message advertisement html image used able opt plain text option since removed sign group groupsyahoocom group mail sent account set thunderbird receive message top spam portion mail loads grapcs load option load grapcs choose related way would design feature follows put option display downloading remote images text would read html message remote images dropdown box display images let choose display images never display images behaviors options patently obvious behavior option give user unobtrustive way download images best implementation ive seen office outlook top message states click download pictures help protect privacy outlook prevented automatic download pictures message throwing dialog asking download images would bad user experience,message pane indicator blocked image,options dialog block incoming images messages would great icon could show message pane message contained blocked images able press icon reload message unblocking images message,1
216208,222798,request localised folder names,german provider uses localised name trash folder imap theres possibility thunderbird change name folder thats important messages special trash folder autodeleted two weeks even dont login using thunderbird via web interface wle holidays didnt know put one main window preferences different approaches implementing one could define one folder trashfolder preferences another could add renaming popupmenu like folders,change trash folder localizated server account settings,whne work imap default trash folder localizated server isnt trash example italian language cestino posta elminata ask able change default trash folder account settings possibile sent draft folders open imap account folder trash mail isnt trash localized name try delete message thunderbird make new folder named trash dont exist thunderbird move deleted message trash folder,1
216264,215897,address book freezes typing name email search field clicking advanced,open address book main screen thunderbird type name name email contains field click advanced button program freeze way resolve manually kill program reopen open address book type name name email contains field click advanced button program freezes advanced search program responding,tools search addresses clicking advanced button address book crashes thunderbird jsdll,selecting tools search addresses clicking advanced button address book window causes thunderbird crash cases needs bit patience since may take restarts thunderbird get time took restarts get crash crashes right first start unlikely crash occurs normal use goto tools search addresses use advanded button address book latter takes annoying clicks use menu advanced address book search window comes restart thunderbird back step one wont crash session window showed normally see crash thunderbird crashes unhandled exception jsdll access violation show search window crashed file jssrcjsinterpc line cachedsetobjsetpropertycx obj rval last three function calls jsinterpretjscontext xda long xfb line bytes jsexecutejscontext xeaab jsobject xeaab jsscript jsstackframe unsigned int long xfb line jsexecutescriptjscontext xda jsobject xeaab jsscript long xfb line bytes information need tracking side note previous thunderbird builds release crash performing steps freezed whole application freeze occurs mozilla mail sure crash setting severity normal seem frequent problem,1
216302,214230,editfind nonfunctional message source window,opening message source view window viewmessage source aka ctrlu editsearch features dont work ctrlf open dialog asking text find doesnt open seem anytng wle viewing mail message press ctrlu see source press ctrlf dialog popup doesnt notng happened popup dialog asking text find message source appeared,edit actions cutcopypaste etc dont work view message source window,select message press ctrlu try menu items edit menu message sourcewindow result dont work menu item works window fileclose window tested thunderbird winxp,1
216486,217477,cant see end scollbar resolution message pane,running resolution click long message message pane bottom cant see end scoll bar make sure operating system set resolution file menu select view toolbars message pane make sure check view long email cant see end scrollbar message pane thats cant see end message expect see arrow scoll bar,message pane scrollbars resize properly main window resized,resizing main tbird window default pane layout message pane properly change size reflect new window size width adjust necessary keep window filled height stays fixed window height reduced bottom message pane end extending invisibly bottom window wch makes vertical scrollbar message pane appear improperly resized makes seem attempts scroll wheelmouse working fact scrollbars sized perfectly message pane scolling working properly cant see improperly sized message pane window height increased message panes height remains fixed instead message list pane expanded keep window filled counterintuitive one would expect message list pane remain fixed height message pane expanded keep window filled tbird window maximized unmaximize easily drag window borders help observing effects bug find least line mail news message display message pane want provoke appearance scrollbar primary visual indicator bug reduce height window starting point step increase height window initial height step step results message pane retains size indicated scrollbars appearing chopped bottom window apparent inability scroll text step results message pane retains size height message list pane instead increased order keep window filled step expected height message pane reduced height window reduced step expected height message list pane stayed constant height message pane increased window height increased several confirmations found thread scroll bar message pane newsgroup nntpsecnewsnetscapecomnetscapemozillathunderbird please keep word scrollbar summary even though scrollbar problem scrollbars primary symptom indicator bug scrollbar summary help others find bug,1
216535,266679,large mailboxes seem cause pathological memory usage,inbox excess messages makes thunderbird use memory,thunderbird consumes excessive filehandles memory,cld bug thunderbird keeps open every msf file ever uses direct result memory footprint grows grows grows time probably coincidence responsiveness degrades time even fairly large macne meg ghz simply spends time thrasng virtual memory werent bad enough also causes shutdown take time operating system expects ive learned ignore windoze kind offers murder process really inconvenient away make pot coffee wle waiting single program shut windows least shedding threads messy memory intensive process see behave whole load folders subscribe maillists doesnt seem matter much lot message filtering incomming mail causes several folders accessed see detail memory footprint grows grows thunderbird totally dominates macne watcng processexplorer see list filehandles msf files grow grow never decrease far see filtering mailbox file require access matcng msf file destroy msf file incomming mail recreate try search display folder msf used correct dont open msf filtration summary files useful speed searches displays folder object record display panels viewing currently viewed close files,1
216647,215183,cannot open larger mails mails containing attachments,whenever receive mail rather large attachemnts large though less thunderbird seems freeze point another already read mail inbox notng really happens statusbar bottom left application says loading message notng seems happen click message large attachment bug occur notng respond grapcal interface respons logic seem happen click select messages inboc hourglass output get tnk odd error already reported search functionality respond keywords cannot open large mails attachments tired open message netscape mail reader worked goes opras latest mail client must bug thunderbird also downloaded weeks build august see bug corrected wasnt persons working office experienced similar problems people like need able open mails attachments least otherwise thunderbird wch seems excellent mail client use,program freezes opening large messages,program freezes shuts attempting open large message normally restarting program problem repeats deleting large message instead opening causes flutter interface solves problem retrieve large message mail server click open interface freezes seconds program shuts visualize message contents allowing replying deleting,1
216692,216691,mailbox exist error syncing mail,thunderbird installed laptop whenever sync imap mail offline use end getting error stating mailbox exist click folders list eventually find one exist exist seconds later end another folder exist completely different original one quit thunderbird back folders exist brief time cycle starts,mailbox exist error syncing mail,thunderbird installed laptop whenever sync imap mail offline use end getting error stating mailbox exist click folders list eventually find one exist exist seconds later end another folder exist completely different original one quit thunderbird back folders exist brief time cycle starts,1
216909,251296,rfe folders unread mode,would like folders view filtered show folders unread messages tnk analog wonderful threads unread mode message list view ideally would onscreen button near folder list toggle mode,implement favoritefavourite folders,implement favoritefavourite folders instead addition recently used folder view mscott talking favorite folder view changes make change folders label folder pane sometng clickable maybe text icon text cycles folders favorite folders clicking would alter conditions folder pane xul template ever david global inbox stuff add folder context menu add favorites wch would check mark showing tngs folder pane favorites mode logic would current folder favorite cldren favorites dden global inbox perhaps isfavorite would bool attribute nsimsgfolder persisted panaceadat context menu would appear accounts wed follow logic determine show accounts default wed make special folders favorites sometng,1
217101,213212,double clicking scrollbar arrows contacts sidebar adds addresses field,doubleclicking arrows contacts sidebars scroll bar compose window ghlighted address added field message could also reported belonging message compose window also deals manipulating data address book open mozilla thunderbird email client click write icon compose new message click contacts icon open contacts sidebar click arrow rapidly scroll list contacts address book observe thunderbird tnks double clicking address adds ghlighted address field ghlighted address added field repeatedly contacts list scrolls addresses added contacts list scroll,double clicking scrollbar updown arrows contacts sidebar adds selected addresses recipient list,thunderbird click write start new mail click contacts display contacts sidebar doubleclicking scrollbar updown button sidebar adds current selected recipient recipient list,1
217186,213212,thunderbird using bottom arrow scroll bar adding addresses new mail dupplicate last address added,summary detailed enough write new mail contacts select address add use bottom arrow scroll bar dupplicates last address added dupplicate last address added,double clicking scrollbar updown arrows contacts sidebar adds selected addresses recipient list,thunderbird click write start new mail click contacts display contacts sidebar doubleclicking scrollbar updown button sidebar adds current selected recipient recipient list,1
217273,214764,download messages doesnt work correctly,setting option gives following messages larger truncatedts message exceeded maximum message size set preferences downloaded first lines mail server click download rest message clicking link doesnt download rest message javascript console error uncaught exception load popjiltuidldfffaeeae denied another macne company netscape work seems thunderbird regression priority since boss insisting email programs set block large emails tnks keep people opening attachments set preferences option download messages open message click link download rest truncated message doesnt download message javascript console says error uncaught exception load popjiltuidldfffaeeae denied message downloaded,click download rest message feature work,using thunderbird standalone set email download messages get message click download rest message link location poprichmailorganizenownetuidlebb click word notng idea way configure thunderbird work whether bug fixed set account settings disk space download large messages send large message attachment check email try clicking link bottom message received download rest note calling account setting disk space probably good tng people plenty disk space reason dont want download everytng save connection time slow connection like road better phrase would downloading options say option window save time disk space instead says save disk space,1
217512,217455,crashes spell check,build keeps crasng spell checking message see text story sent someonepllynewscom could someone even want harm dog whole idea makes sick stomach leo dogs killer claims mental anguish suit andrew burnett prison flinging bichon fris dog traffic fit road rage three years ago suing dead dogs former owner mercury news causing everytng mental anguish posttraumatic stress disorder matter full article available web limited time httpwwwbayareacommldmercurynewsnewslocalhtm mercury news wire service sources rights reserved open email select email message click reply reply spell check bam crash crashed ummmchecked spelling appname thunderbirdexe,thunderbird crashes spellchecking emails,sure exactly issue thunderbird crashed time upgraded nightly spell checking problem build,1
217567,215621,addressbook isnt accessible via menus toolbar icon,addressbook opened clicking toolbar icon addressbook listed missing windowmenu bug,windows menu thunderbird,mac version needs windows menu aqua guidelines firebird since please see david hyatts patch done firebird corresponding bug firebird bug,1
217633,214838,status bar window resized,bug bit like bug mozilla suite much worse thunderbird making thunderbird specific bug reproduce resize window see status bar disappears also parts scrollbars visible anymore due thunderbird maximized status bar scrollbar reappear resize much bigger,status bar disappears changing window configuration,changing window configuration options window either left one middle one clicking status bar disappears never show switch right configuration wch exactly preference,1
217672,266295,toolbar icons like firefoxs,interest reasonable default toolbars thunderbird crescent icon toolbar file edit etc main windows toolbar compose toolbar previous next thunderbird dont function differently back forward firebird icons names different mozilla thunderbird firebird thunderbird behave similarly wherever reasonable make,thunderbird default skin throbber match firefox default skin throbber,niggling design issue thunderbird throbber somewhat ugly consists circle dots dots growing shrinking doesnt render well looks bit unprofessional firefox throbber tng dots remain fixed size change grayed black much nicer aesthetic issues aside two match tnk thunderbird take firefoxs,1
217673,221724,mail filter dialog include filtering address default,summary personally filter address often address default mailing lists respective folders list name isnt subject email etc,thunderbird filter sender actually filters,relevant info email header bill sanderson billsandersonmsncom sender dtslrequestmvpsorg create filter sender dtslrequestmvpsorg move folder apply filter message moved change filter sender billsandersonmsncom move folder apply filter message moved filter uses word sender actually filters message header need filter sender header ability filter either makes sense current filter least descriptive actually filtering see details message moved message moved based sender header sender filter add additional filter move message based header,1
217802,216677,key shortcut mark read work,linux builds shortcut ctrlsftc marking messages read work saw first build following builds even candidate worked fine builds unfortunately know feature broke,keyboard shortcut ctrl shift read doesnt work,keyboard shortcut ctrl sft read doesnt work notng appends mark messages read,1
218276,218275,select senderreceipient column folders,possible select sender receipient column independent currently selected column sent inbox folders suggestion made several times mozilla mail see httpbugzillamozillaorgshowbugcgiid since showstopper many people would nice implemented combined tofrom field shoul stay users used sample comes handy company shared project bound imap folders every project related email droped matter received must possible see received mail even important sender column sent folders see sent particular email try show receipient inbox try show sender sent box selectable receipient column inbox selectable sender column sent,select senderreceipient column folders,possible select sender receipient column independent currently selected column sent inbox folders suggestion made several times mozilla mail see httpbugzillamozillaorgshowbugcgiid since showstopper many people would nice implemented combined tofrom field shoul stay users used sample comes handy company shared project bound imap folders every project related email droped matter received must possible see received mail even important sender column sent folders see sent particular email try show receipient inbox try show sender sent box selectable receipient column inbox selectable sender column sent,1
218359,217255,adter runing thunderfbird get gdkwarning gdkdrawablexc drawable pixmap window,get gdkwarning gdkdrawablexc drawable pixmap window run thunderbird put unzip files folder run thunderbird wait little get message stop finished massage possiable instalation information site people see instalations,crash message gdkwarning gdkdrawablexc drawable pixmap window,process started display opened crashed message gdkwarning gdkdrawablexc drawable pixmap window redhat linux ibm tnkpad linux gnulinux desktop system linux athlon gnulinux usrlocalthunderbirdthunderbird error message open window thunderbird mail application,1
218807,217477,unaccessible window elements wide layout,statusbar downscroller dden return full screen mode wide layout see url available week set wide layout click mail internal viewing click maximize icon window click restore icon scroller status bar dden bottom window border become inaccessible mouse keyboard scroller work correctly resize window,message pane scrollbars resize properly main window resized,resizing main tbird window default pane layout message pane properly change size reflect new window size width adjust necessary keep window filled height stays fixed window height reduced bottom message pane end extending invisibly bottom window wch makes vertical scrollbar message pane appear improperly resized makes seem attempts scroll wheelmouse working fact scrollbars sized perfectly message pane scolling working properly cant see improperly sized message pane window height increased message panes height remains fixed instead message list pane expanded keep window filled counterintuitive one would expect message list pane remain fixed height message pane expanded keep window filled tbird window maximized unmaximize easily drag window borders help observing effects bug find least line mail news message display message pane want provoke appearance scrollbar primary visual indicator bug reduce height window starting point step increase height window initial height step step results message pane retains size indicated scrollbars appearing chopped bottom window apparent inability scroll text step results message pane retains size height message list pane instead increased order keep window filled step expected height message pane reduced height window reduced step expected height message list pane stayed constant height message pane increased window height increased several confirmations found thread scroll bar message pane newsgroup nntpsecnewsnetscapecomnetscapemozillathunderbird please keep word scrollbar summary even though scrollbar problem scrollbars primary symptom indicator bug scrollbar summary help others find bug,1
219138,257990,suggestions junk mail controls window,present one wishes enable junk mail controls thunderbird heshe must toolsjunk mail controls click adaptive filters tab enable adaptive junk mail detection however tab comes first settings junk mail controls since bayesian filtering turned default options first tab pretty much grayed tnk pose point confusion users looking junk mail controls suggestions tnk help move enable junk mail filtering checkbox option front tab keep original options onto front tab doesnt look sparse perhaps move wte lists tab move account option tabs clear options performed peraccount basis incidentally would also solve bug,integrate junk mail settings options account settings,bug research summary wandering bugs filed junk mail message filters account settings come short summary evaluation general attitude solution hope bugs might able closed dupes somesuch added discussion instead seem leaning direction anyway bits pieces junk mail filtering per account message filtering per account account setting per account three features managed configured seperate dialogs currrently people would like see somehow elegantly unified bugs evaluated consolidated bug bug bug bug proposed solution propose solving mess two steps consolidate junk mailmessage filters filter takes action condition met sender michaelinsitesinccom move specified folder based analysis junk mail filters different calculate probability probability move specified folder handled making normal filter even grant end user control sensitivity junk filter desire sensible relocate unified message filter account settings filters normal junk one already applied per account force user manage seperately account settings placing filters account settings simplify consolidate functionality intuitively guaged public opinion incorrectly please feel free close enhancment bug noticed lot individuals good ideas needed improvement discussions also like add comment bugs referenced attempt unify discussion unifying configuration dont want produce bugspam suggestion ettiqueteappropriatenesssp interest type solution happily produce mockups proceed,1
219386,214158,mailto links spaces subject work,links form mailtouserhostdomainsubjectts subject bring compose window tunderbird becuase compose flag added mailto open command registry enties double quotes surrounding also removed double quotes necessary links spaces subject work correctly used regedit manually change thundeexe compose thundeexe compose verified making change appears correct issue register thunderbird default mail client form browser enter url mailtouserhostdomainsubjectts subject notng opened compose window,mailto problem back change default mail client using preferences,alothough mailestone version thundirgbird correctly includes compose flag serveral registry entries mailto link correctly enters compose window use set defaul mail application thunderbird compse flag removed reason one registry key still missing compose flag compse flag must added key hkeylocalmacnesoftwareclientsmailthundirbirdprotocolsmailtospencomand picker preferences uses key pick thundirbird mail default mail application initialize keys select thunderbird default mail application witn thunderbird firebird another browser enter url mailtousermozillaorg verify correctly enter thunderbird mail compose window address usermozillaorg filled bring tools internet options programs select application email program click apply change email application back thunderbird mail click apply back browser window enter mailto url thundirbird opens folder view thunderbird open compose window address initialized value specified mailto url,1
219612,217477,status bar resizing window,window frame must almost fullscreen height screen see status bar resize window make shorter status bar covered instead redrawing bottom frame start thunderbird,message pane scrollbars resize properly main window resized,resizing main tbird window default pane layout message pane properly change size reflect new window size width adjust necessary keep window filled height stays fixed window height reduced bottom message pane end extending invisibly bottom window wch makes vertical scrollbar message pane appear improperly resized makes seem attempts scroll wheelmouse working fact scrollbars sized perfectly message pane scolling working properly cant see improperly sized message pane window height increased message panes height remains fixed instead message list pane expanded keep window filled counterintuitive one would expect message list pane remain fixed height message pane expanded keep window filled tbird window maximized unmaximize easily drag window borders help observing effects bug find least line mail news message display message pane want provoke appearance scrollbar primary visual indicator bug reduce height window starting point step increase height window initial height step step results message pane retains size indicated scrollbars appearing chopped bottom window apparent inability scroll text step results message pane retains size height message list pane instead increased order keep window filled step expected height message pane reduced height window reduced step expected height message list pane stayed constant height message pane increased window height increased several confirmations found thread scroll bar message pane newsgroup nntpsecnewsnetscapecomnetscapemozillathunderbird please keep word scrollbar summary even though scrollbar problem scrollbars primary symptom indicator bug scrollbar summary help others find bug,1
219655,219214,fast way marking large number imap mail folders checked new mail,many many imap folders curently right click properties check folder new messages press every one use procmail put mail folders suggest adding another tickable column subscribe list name subscribe check mail sometng like tnk may even wise make default check folders turn otherwise easy notice new mail chris,option check new messages imap folders,option check new messages folders imap account major issue people using several mailerscomputers see messages sorted mailerscomputers thunderbird,1
219762,214663,thunderbirds locale resource enusmailjar synchronized different,locale resources mailjar enunixwinmacjar usjar thunderbird synchronized windows windows builds jar usjar merged mailjar content different platforms like jar found linux builds seems like windows builds removed many locale files inside jars wle linuxmacos builds please make synchronized currently painful localize right get windows one linux mac build check chromemailjar compare windows version jar usjar merged mailjar contents linuxmacos builds windows version versions follow policy contents different,thunderbird localization problems package structure incompatibility mozilla firefox,need make unified packages wch working windows linux system like mozilla suite also release windows package differs linux package see related bugs mozilla already fixed httpbugzillamozillaorgshowbugcgiid httpbugzillamozillaorgshowbugcgiid httpbugzillamozillaorgshowbugcgiid httpbugzillamozillaorgshowbugcgiid dont break directories files structure main package jar mailjar region pack usjar mailjar system packages enwinjar enunixjar enmacjar see httpmozillaorgprojectslnmlpwhathtmlchromefiles httpmozillaorgprojectslnmlpchromehtmlresources without fixing bug really makes hard localize thunderbird btw could also break compatibility localization utilities like mozillatranslator,1
219796,202497,way register thunderbird default application news,way register thunderbird default application news mail thunderbird,need set default mailto protocol handler default mail app,thunderbird needs mozilla mail probably wants set mozilla mail default app windows mapi code pokes register bunch magic simple mapi mozilla mail however currently dont also set mailto protocol handler rest registry tweaks click mailto link firebird launches instead mozilla mail even though mozilla mail registered default app means setting hkeylocalmacnesoftwareclassesmailtospencommand value app path compose hkeylocalmacnesoftwareclassesmailtodefaulticon value app path additional note win control panel folder options filetypes urlmailto protocol well show mozilla mailthunderbird,1
220058,216090,mailcomponentscomposecontentmessengercomposexul characters,file characters wont compile try make mail directory srcconfigpreprocessorpl gives error near line,start spell check,standard windows shortcut key spellcheck shortcut work thunderbird messenger compose new message notng spellcheck launch,1
